listing_id,make,model,year,mileage_km,fuel,transmission,engine_l,body_type,color,city,price_eur,first_registration,seller_type,condition,listed_at
car-000001,Volkswagen,Golf,2016,131393,diesel,manual,2.8,coupe,white,Constanta,17956,2016-01-01,dealer,used,2026-01-15T16:00:00Z
car-000002,Kia,Ceed,2025,107248,lpg,automatic,1.6,coupe,red,Bucharest,28816,2025-03-23,private,certified_used,2026-01-18T04:00:00Z
car-000003,Mercedes-Benz,A180,2011,51625,electric,manual,0.0,suv,red,Bucharest,19971,2011-08-18,dealer,certified_used,2026-01-06T17:00:00Z
car-000004,Audi,Q5,2019,305698,diesel,manual,1.1,sedan,red,Bucharest,19364,2019-04-28,dealer,certified_used,2026-01-18T14:00:00Z
car-000005,Ford,Fiesta,2019,189264,diesel,automatic,2.8,hatchback,silver,Constanta,18538,2019-04-06,private,certified_used,2026-01-18T20:00:00Z
car-000006,Hyundai,i30,2018,32327,diesel,manual,3.0,wagon,red,Bucharest,18028,2018-10-23,private,used,2026-02-11T15:00:00Z
car-000007,Skoda,Kodiaq,2012,141873,diesel,manual,2.9,coupe,red,Brasov,15688,2012-07-19,private,certified_used,2026-01-15T04:00:00Z
car-000008,Hyundai,Kona,2010,27702,petrol,manual,2.6,wagon,white,Timisoara,12226,2010-10-15,private,used,2026-02-13T23:00:00Z
car-000009,Volkswagen,Touran,2016,181349,petrol,automatic,2.1,wagon,black,Brasov,17339,2016-12-09,dealer,used,2026-02-25T20:00:00Z
car-000010,Audi,Q5,2014,83131,hybrid,manual,2.3,coupe,black,Constanta,15355,2014-08-01,dealer,certified_used,2026-02-26T09:00:00Z
car-000011,Mercedes-Benz,C180,2015,300458,petrol,manual,2.8,hatchback,silver,Cluj-Napoca,15203,2015-08-18,dealer,certified_used,2026-02-03T19:00:00Z
car-000012,Skoda,Fabia,2025,108461,hybrid,automatic,3.5,suv,brown,Constanta,26298,2025-02-08,dealer,used,2026-01-22T00:00:00Z
car-000013,Kia,Stonic,2015,311512,diesel,manual,1.2,hatchback,blue,Bucharest,16813,2015-01-28,private,used,2026-02-02T07:00:00Z
car-000014,Audi,Q3,2014,285713,diesel,automatic,1.6,wagon,green,Cluj-Napoca,10777,2014-02-22,private,certified_used,2026-01-28T13:00:00Z
car-000015,Renault,Clio,2011,34778,electric,automatic,0.0,hatchback,blue,Cluj-Napoca,14447,2011-09-15,dealer,certified_used,2026-01-12T08:00:00Z
car-000016,Renault,Megane,2010,235328,lpg,manual,1.1,coupe,black,Bucharest,13350,2010-04-06,private,certified_used,2026-01-31T06:00:00Z
car-000017,Skoda,Octavia,2013,201691,petrol,automatic,1.7,wagon,red,Timisoara,14004,2013-12-26,private,used,2026-01-13T09:00:00Z
car-000018,Mercedes-Benz,C180,2025,34959,hybrid,manual,1.1,wagon,silver,Bucharest,30470,2025-09-03,dealer,used,2026-02-08T02:00:00Z
car-000019,Mercedes-Benz,GLA200,2011,301673,diesel,manual,2.5,wagon,gray,Iasi,9338,2011-11-23,private,used,2026-01-17T12:00:00Z
car-000020,BMW,X3,2022,168767,petrol,manual,2.1,coupe,white,Bucharest,24304,2022-04-17,private,used,2026-03-01T11:00:00Z
car-000021,Volkswagen,Passat,2019,152415,diesel,automatic,3.1,suv,black,Brasov,23893,2019-09-10,dealer,used,2026-01-17T03:00:00Z
car-000022,Volkswagen,Touran,2012,145788,hybrid,manual,2.8,sedan,red,Constanta,14902,2012-05-28,dealer,used,2026-02-10T13:00:00Z
