listing_id,make,model,year,mileage_km,fuel,transmission,engine_l,body_type,color,city,price_eur,first_registration,seller_type,condition,listed_at
car-000001,BMW,118,2019,91964,lpg,manual,2.0,coupe,green,Constanta,21962,2019-01-24,dealer,certified_used,2026-01-29T07:00:00Z
car-000002,Hyundai,i30,2010,30716,diesel,automatic,3.2,sedan,silver,Timisoara,14188,2010-07-21,private,used,2026-01-16T19:00:00Z
car-000003,Volkswagen,Polo,2020,104966,lpg,automatic,2.9,wagon,green,Cluj-Napoca,25534,2020-03-12,dealer,used,2026-02-07T07:00:00Z
car-000004,Audi,Q3,2012,295584,lpg,automatic,3.4,suv,gray,Brasov,13584,2012-08-21,private,used,2026-01-26T07:00:00Z
car-000005,Mercedes-Benz,CLA200,2025,88148,lpg,automatic,2.3,wagon,white,Timisoara,30333,2025-03-10,dealer,certified_used,2026-02-16T08:00:00Z
car-000006,Skoda,Fabia,2014,168042,electric,manual,0.0,sedan,green,Cluj-Napoca,17337,2014-10-16,dealer,used,2026-01-06T07:00:00Z
car-000007,Skoda,Superb,2012,63687,petrol,manual,1.0,suv,gray,Iasi,16866,2012-08-14,dealer,certified_used,2026-01-13T21:00:00Z
car-000008,Audi,A4,2008,246929,diesel,automatic,2.4,sedan,blue,Iasi,6448,2008-03-26,private,certified_used,2026-01-09T00:00:00Z
car-000009,Audi,A6,2021,117773,diesel,automatic,2.8,sedan,silver,Bucharest,24227,2021-02-16,dealer,used,2026-01-18T22:00:00Z
car-000010,BMW,X1,2009,101824,diesel,manual,2.1,coupe,green,Timisoara,14268,2009-02-25,private,used,2026-01-30T14:00:00Z
car-000011,Mercedes-Benz,E220,2008,139735,lpg,automatic,3.3,sedan,brown,Cluj-Napoca,7847,2008-02-25,dealer,certified_used,2026-01-02T08:00:00Z
car-000012,Hyundai,Kona,2025,306739,lpg,manual,2.2,suv,white,Brasov,23833,2025-12-06,private,used,2026-02-20T22:00:00Z
car-000013,Volkswagen,Golf,2014,82910,petrol,manual,3.2,wagon,blue,Brasov,19941,2014-07-05,private,certified_used,2026-01-18T11:00:00Z
car-000014,Audi,Q3,2015,112079,electric,manual,0.0,hatchback,gray,Iasi,21986,2015-09-23,dealer,used,2026-02-19T22:00:00Z
car-000015,Renault,Megane,2008,240097,petrol,manual,3.1,suv,black,Bucharest,11899,2008-08-28,private,used,2026-01-29T06:00:00Z
car-000016,Renault,Kadjar,2015,136233,hybrid,manual,3.0,sedan,white,Brasov,15263,2015-05-21,dealer,used,2026-02-25T17:00:00Z
car-000017,Audi,A6,2024,104028,diesel,manual,1.1,sedan,blue,Cluj-Napoca,27270,2024-10-27,private,used,2026-01-14T14:00:00Z
car-000018,Kia,Niro,2015,318366,lpg,manual,2.8,wagon,black,Constanta,11032,2015-07-10,dealer,used,2026-01-22T13:00:00Z
car-000019,Volkswagen,Tiguan,2010,225125,petrol,automatic,2.2,suv,black,Brasov,12111,2010-02-10,dealer,certified_used,2026-02-24T15:00:00Z
car-000020,Hyundai,i20,2013,103522,diesel,automatic,1.6,wagon,gray,Constanta,18750,2013-03-17,dealer,used,2026-02-02T16:00:00Z
car-000021,Audi,Q5,2009,264789,electric,automatic,0.0,hatchback,black,Brasov,12107,2009-06-25,private,certified_used,2026-01-19T21:00:00Z
car-000022,Volkswagen,Passat,2016,189573,diesel,manual,2.9,sedan,green,Bucharest,14102,2016-11-21,private,used,2026-02-21T07:00:00Z
car-000023,Skoda,Superb,2013,154012,hybrid,automatic,2.2,sedan,black,Iasi,18225,2013-09-12,dealer,used,2026-01-08T23:00:00Z
