listing_id,make,model,year,mileage_km,fuel,transmission,engine_l,body_type,color,city,price_eur,first_registration,seller_type,condition,listed_at
car-000001,Ford,Fiesta,2020,28315,petrol,manual,1.9,hatchback,blue,Bucharest,18804,2020-07-14,dealer,used,2026-01-06T17:00:00Z
car-000002,Skoda,Octavia,2011,120041,lpg,manual,2.4,wagon,black,Cluj-Napoca,10381,2011-09-28,dealer,certified_used,2026-01-27T04:00:00Z
car-000003,Hyundai,i20,2017,296736,diesel,manual,2.5,sedan,gray,Bucharest,15909,2017-12-03,dealer,used,2026-02-01T21:00:00Z
car-000004,Hyundai,Kona,2018,247109,lpg,automatic,1.9,sedan,silver,Brasov,18150,2018-04-03,private,certified_used,2026-02-26T10:00:00Z
car-000005,Renault,Captur,2010,64900,lpg,automatic,1.4,suv,silver,Timisoara,12554,2010-01-22,dealer,certified_used,2026-01-22T22:00:00Z
car-000006,Ford,Puma,2023,307032,electric,manual,0.0,suv,brown,Brasov,26240,2023-02-02,private,certified_used,2026-01-19T22:00:00Z
car-000007,Skoda,Superb,2008,245061,hybrid,manual,2.5,wagon,black,Cluj-Napoca,10874,2008-05-05,dealer,certified_used,2026-01-26T15:00:00Z
car-000008,Volkswagen,Passat,2022,213577,lpg,automatic,3.2,wagon,red,Brasov,18641,2022-06-22,private,used,2026-01-10T02:00:00Z
car-000009,BMW,X1,2015,125335,petrol,automatic,3.1,sedan,red,Iasi,13633,2015-03-14,private,certified_used,2026-01-09T22:00:00Z
car-000010,Hyundai,Elantra,2009,242412,lpg,automatic,2.0,wagon,white,Timisoara,10716,2009-07-02,dealer,used,2026-01-14T14:00:00Z
car-000011,BMW,320,2018,317954,petrol,manual,1.0,sedan,white,Iasi,17061,2018-01-03,dealer,certified_used,2026-01-10T20:00:00Z
car-000012,Audi,A6,2019,251591,petrol,manual,3.1,wagon,brown,Timisoara,15803,2019-02-05,dealer,certified_used,2026-02-17T08:00:00Z
car-000013,Renault,Megane,2024,15108,diesel,automatic,1.4,coupe,black,Constanta,24141,2024-11-28,dealer,certified_used,2026-02-03T11:00:00Z
car-000014,BMW,X3,2015,282231,lpg,automatic,2.6,coupe,blue,Cluj-Napoca,16242,2015-07-24,dealer,used,2026-02-03T15:00:00Z
car-000015,Ford,Focus,2008,149495,electric,automatic,0.0,coupe,gray,Timisoara,17403,2008-12-12,private,used,2026-01-15T03:00:00Z
car-000016,Mercedes-Benz,GLA200,2014,180071,diesel,automatic,2.6,coupe,black,Timisoara,16118,2014-11-12,dealer,used,2026-02-28T12:00:00Z
car-000017,Mercedes-Benz,GLA200,2013,230501,hybrid,manual,3.0,wagon,brown,Timisoara,14311,2013-02-24,dealer,used,2026-01-09T00:00:00Z
car-000018,BMW,118,2022,79637,lpg,automatic,2.6,suv,silver,Constanta,24391,2022-03-01,dealer,used,2026-02-03T23:00:00Z
car-000019,BMW,520,2014,113646,petrol,automatic,1.5,coupe,blue,Constanta,15370,2014-05-18,private,used,2026-01-04T23:00:00Z
car-000020,Ford,Kuga,2024,223530,lpg,manual,2.3,coupe,black,Timisoara,22448,2024-03-20,dealer,used,2026-01-12T04:00:00Z
car-000021,Renault,Talisman,2011,294753,petrol,automatic,2.7,coupe,brown,Bucharest,13788,2011-09-02,dealer,used,2026-01-18T01:00:00Z
car-000022,Volkswagen,Touran,2022,297507,petrol,manual,2.1,coupe,blue,Brasov,17736,2022-08-17,private,used,2026-02-14T16:00:00Z
car-000023,Audi,Q5,2014,237633,diesel,automatic,1.3,wagon,gray,Bucharest,14558,2014-04-14,dealer,used,2026-02-12T09:00:00Z
car-000024,Volkswagen,Passat,2019,77962,hybrid,manual,3.4,sedan,white,Timisoara,24449,2019-08-06,dealer,used,2026-02-15T13:00:00Z
car-000025,Hyundai,Kona,2018,223870,diesel,automatic,1.8,suv,black,Iasi,16670,2018-08-15,dealer,certified_used,2026-01-22T16:00:00Z
car-000026,Kia,Rio,2024,36706,petrol,manual,3.4,hatchback,white,Iasi,23927,2024-01-25,dealer,certified_used,2026-02-18T04:00:00Z
car-000027,Skoda,Superb,2020,81311,lpg,automatic,2.8,hatchback,red,Bucharest,24650,2020-12-06,private,used,2026-01-18T00:00:00Z
car-000028,Volkswagen,Polo,2010,119605,petrol,automatic,3.2,wagon,black,Iasi,13630,2010-07-09,dealer,used,2026-02-03T22:00:00Z
car-000029,Mercedes-Benz,C180,2013,140308,petrol,manual,1.5,suv,red,Constanta,18021,2013-04-10,private,used,2026-01-18T11:00:00Z
car-000030,Toyota,Camry,2009,11045,petrol,manual,2.3,sedan,brown,Bucharest,13592,2009-11-14,private,certified_used,2026-02-02T09:00:00Z
